id,scheduled_time,text,media_paths,status,tweet_id,posted_at,error
20260831_0730,2026-08-31 07:30,布団から出た時点で、今日のタスクは80%終わってます。えらい。,,pending,,,
20260831_1230,2026-08-31 12:30,午前の自分、お疲れさまでした。ここでいったん肩の力抜きましょう。,,pending,,,
20260831_1800,2026-08-31 18:00,今日も1日、ちゃんと生きた。それだけで十分な実績です。,,pending,,,
20260901_0730,2026-09-01 07:30,完璧な1日じゃなくていい。「まあまあよかった日」を今日の目標にしよう。,,pending,,,
20260901_1230,2026-09-01 12:30,ランチ、何を食べるか迷う時間も、実は今日いちばん幸せな時間かもしれません。,,pending,,,
20260901_1800,2026-09-01 18:00,今日できたことだけ数えて、できなかったことは明日に丸投げしましょう。,,pending,,,
20260902_0730,2026-09-02 07:30,今日のあなたは、まだ何も失敗してない。最高のスタートです。,,pending,,,
20260902_1230,2026-09-02 12:30,午後、まだ半分残ってます。でも半分「しか」じゃなくて半分「も」あると思うと楽です。,,pending,,,
20260902_1800,2026-09-02 18:00,帰り道、ちゃんと自分の足で歩けたあなた、今日もお疲れさまでした。,,pending,,,
20260903_0730,2026-09-03 07:30,「よし」と声に出して立ち上がった人、もう今日は勝ちです。,,pending,,,
20260903_1230,2026-09-03 12:30,眠気が来たら、それは頑張ってる証拠。無理せずコーヒーでも。,,pending,,,
20260903_1800,2026-09-03 18:00,今日の自分に「よくやった」って、声に出さなくてもいいから思ってあげてください。,,pending,,,
20260904_0730,2026-09-04 07:30,昨日の自分に「おはよう」って言えたら、それだけで合格。,,pending,,,
20260904_1230,2026-09-04 12:30,今日のお昼休み、スマホを置いて5分だけボーッとするのもアリです。,,pending,,,
20260904_1800,2026-09-04 18:00,明日のことは明日の自分に任せて、今夜はちゃんと休みましょう。,,pending,,,
20260905_0900,2026-09-05 09:00,週末の朝は、目覚ましより先に自分のペースを優先していいんです。,,pending,,,
20260906_0900,2026-09-06 09:00,今日は「何もしない」も立派な予定のひとつです。,,pending,,,
20260907_0730,2026-09-07 07:30,今日、誰かがあなたの笑顔で少し元気になります。先に伝えておきます。,,pending,,,
20260907_1230,2026-09-07 12:30,午前中を乗り切ったあなたに、勝手に拍手を送っておきます。,,pending,,,
20260907_1800,2026-09-07 18:00,今日1日、誰にも迷惑かけずに(たぶん)過ごせた、それだけで満点です。,,pending,,,
20260908_0730,2026-09-08 07:30,天気が悪くても、機嫌まで曇らせる必要はありません。,,pending,,,
20260908_1230,2026-09-08 12:30,「あと少しだけ頑張る」って思う時の「少し」、意外と伸ばせるものです。,,pending,,,
20260908_1800,2026-09-08 18:00,「今日は特に何もなかった」って日も、実は無事に過ごせた証拠です。,,pending,,,
20260909_0730,2026-09-09 07:30,スタートダッシュが苦手な人、ゆっくり加速でも十分間に合います。,,pending,,,
20260909_1230,2026-09-09 12:30,お昼寝5分は、午後のパフォーマンスを地味に底上げしてくれます。,,pending,,,
20260909_1800,2026-09-09 18:00,お風呂に入ったら、今日の疲れも一緒に流していいことにしましょう。,,pending,,,
20260910_0730,2026-09-10 07:30,「今日も同じ毎日」に見えて、実は毎日ちょっとずつ違う日です。,,pending,,,
20260910_1230,2026-09-10 12:30,今日の自分にひとこと:朝からよくやってる。えらい。,,pending,,,
20260910_1800,2026-09-10 18:00,今日、笑ったこと1つでもありましたか?あったなら今日は勝ちです。,,pending,,,
20260911_0730,2026-09-11 07:30,コーヒーを一口飲んだその瞬間、今日はもう始まっています。合格。,,pending,,,
20260911_1230,2026-09-11 12:30,ランチのあと眠くなるのは、体が頑張ってる証拠です。恥ずかしくない。,,pending,,,
20260911_1800,2026-09-11 18:00,頑張った自分にごほうび、コンビニスイーツでも十分立派です。,,pending,,,
20260912_0900,2026-09-12 09:00,布団の中でスマホを見る時間、今日はたっぷり許可します。,,pending,,,
20260913_0900,2026-09-13 09:00,週末くらい、朝ごはんとお昼ごはんを一緒にしても誰も怒りません。,,pending,,,
20260914_0730,2026-09-14 07:30,今日のノルマ、まず「起きる」はクリア済み。次いきましょう。,,pending,,,
20260914_1230,2026-09-14 12:30,午後の会議、乗り切ったらおやつでいいことにしましょう。,,pending,,,
20260914_1800,2026-09-14 18:00,今日の反省は程々にして、まずはちゃんと寝ることを優先しましょう。,,pending,,,
20260915_0730,2026-09-15 07:30,やる気が出ない朝も、やる気に頼らず動ける人はもう十分強い。,,pending,,,
20260915_1230,2026-09-15 12:30,「お腹すいた」で頭がいっぱいになる時間、それもまた人間らしくていいです。,,pending,,,
20260915_1800,2026-09-15 18:00,「今日も乗り切った」その一言、誰かに言う前にまず自分にかけてください。,,pending,,,
20260916_0730,2026-09-16 07:30,今日、誰かと比べなくていい。昨日のあなたより少し進めば満点。,,pending,,,
20260916_1230,2026-09-16 12:30,今日の空、意外と気持ちいいかもしれません。1分だけ外の空気吸ってみて。,,pending,,,
20260916_1800,2026-09-16 18:00,明日も同じように頑張らなくていい。今日ちゃんと頑張ったから。,,pending,,,
20260917_0730,2026-09-17 07:30,鏡の中のあなた、今日もなかなかいい顔してます。,,pending,,,
20260917_1230,2026-09-17 12:30,午後にもうひと踏ん張りできる人は、朝ちゃんと休めてた証拠です。,,pending,,,
20260917_1800,2026-09-17 18:00,今日1日で完璧を求めるのはもうやめましょう。今日もお疲れさまでした。,,pending,,,
20260918_0730,2026-09-18 07:30,「面倒くさい」と思いながらでも家を出られたら、それは立派な行動力。,,pending,,,
20260918_1230,2026-09-18 12:30,コンビニのレジで少し悩む時間、実は今日の小さな楽しみです。,,pending,,,
20260918_1800,2026-09-18 18:00,夜ごはん、美味しく食べられたなら今日はそれだけで十分な1日です。,,pending,,,
20260919_0900,2026-09-19 09:00,今日1日、予定を詰め込みすぎなくて大丈夫です。,,pending,,,
20260920_0900,2026-09-20 09:00,のんびり起きた自分を、今日はちゃんと褒めてあげてください。,,pending,,,
20260921_0730,2026-09-21 07:30,今日1日を三行日記にするなら、いい話で終わらせましょう。,,pending,,,
20260921_1230,2026-09-21 12:30,「もう疲れた」って思ったら、それはもう半分頑張った証拠。,,pending,,,
20260921_1800,2026-09-21 18:00,今日のイライラは、寝る前に一度置いていってください。持ち越さなくていい。,,pending,,,
20260922_0730,2026-09-22 07:30,眠い目をこすりながらここまで読んだあなた、もう偉業を達成中です。,,pending,,,
20260922_1230,2026-09-22 12:30,今日のランチタイム、誰かと話せたなら、それだけで今日は豊かな日です。,,pending,,,
20260922_1800,2026-09-22 18:00,「今日も生き延びた」くらいの気持ちで、ちょうどいいです。,,pending,,,
20260923_0730,2026-09-23 07:30,今日の自分にプレッシャーをかけすぎず、「まあやってみるか」くらいで十分。,,pending,,,
20260923_1230,2026-09-23 12:30,午後の眠気に負けそうな人、姿勢を正すだけで少し目が覚めます。,,pending,,,
